place,lat,lng
"C21 Mall, Indore",22.7439446,75.89415
"Old RTO, Indore",22.7282608,75.8463526
"Sarafa, Indore",22.7175144,75.852306
"Bhanwarkuan Square, Indore",22.6925866,75.86783199999999
"Rajwada, Indore",22.71771,75.8544848
"Khajrana Ganesh Temple, Indore",22.731714,75.90786
"Vijay Nagar, Indore",22.75521,75.8968202
"Bengali Square, Indore",22.7081414,75.9229596
"Bombay Hospital, Indore",22.7543445,75.9033461
"Dewas Naka, Indore",22.7813964,75.9034525
"MR 10 Square, Indore",22.7637474,75.8704838
"Indore Railway Station, Indore",22.7170592,75.86828899999999
"Geeta Bhawan Square, Indore",22.719283,75.884494
"Navlakha Bus Stand, Indore",22.7000636,75.8771513
"Basketball Complex, Indore",22.7252322,75.87891510000001
"Scheme No 78, Indore",22.7657262,75.8859572
"Choithram Mandi, Indore",22.6865187,75.8519429
"Medicaps University, Indore",22.6210224,75.8035907
"Satya Sai Square, Indore",22.7568318,75.89643819999999
"LIG Square, Indore",22.7372765,75.8908828
"Super Corridor, Indore",22.7735348,75.8208861
"Indore Airport, Indore",22.7280036,75.804099
"Scheme No 54, Indore",22.7496812,75.8913294
"Medanta Hospital, Indore",22.7489813,75.8958731
"Niranjanpur, Indore",22.7785448,75.8879839
"Palasia Square, Indore",22.7240867,75.8859818
"TCS Indore, Indore",22.7658606,75.8155889
"Gopur Square, Indore",22.6842663,75.8288826
"Niranjanpur Square, Indore",22.7717289,75.9018098
"Rajendra Nagar Square, Indore",22.6702738,75.8287641
